Designator,Mid X,Mid Y,Rotation,Layer
C1,153.42,-91.895,90.0,top
C10,154.8,-100.05,225.0,top
C11,154.42,-100.94,270.0,bottom
C12,154.53,-105.01,90.0,bottom
C13,152.58,-105.03,90.0,bottom
C16,146.64,-98.23,90.0,bottom
C17,144.92,-98.17,270.0,top
C18,146.0,-98.15,270.0,top
C19,144.63,-99.47,180.0,bottom
C2,155.64,-91.895,270.0,top
C20,144.64,-97.35,0.0,bottom
C21,152.57,-95.58,180.0,top
C22,152.56,-94.55,180.0,top
C23,152.12,-90.33,0.0,top
C24,150.5,-103.06,270.0,bottom
C25,147.6,-103.07,90.0,bottom
C26,144.74,-92.22,180.0,bottom
C27,159.04,-95.32,180.0,top
C3,148.61,-91.9,270.0,top
C4,150.78,-91.89,90.0,top
C5,148.68,-106.55,90.0,top
C6,146.52,-101.59,180.0,top
C7,146.54,-102.71,0.0,top
C8,152.6,-110.38,270.0,top
C9,156.83,-110.37,270.0,top
D1,159.14,-110.32,180.0,top
J1,152.03,-113.23,180.0,top
JP1,157.965,-91.45,270.0,top
JP2,145.965,-91.46,90.0,top
L1,154.54,-91.915,90.0,top
L2,149.71,-91.92,90.0,top
L3,154.7,-110.21,180.0,top
L4,144.65,-98.41,0.0,bottom
R1,150.38,-110.4,270.0,top
R2,151.49,-110.41,270.0,top
R3,147.59,-106.57,270.0,top
R4,144.74,-94.42,180.0,bottom
R5,144.75,-93.36,180.0,bottom
R6,144.83,-111.95,90.0,bottom
R7,155.51,-100.96,270.0,bottom
T1,151.97,-101.16,0.0,top
U1,152.97,-105.79,0.0,top
U2,157.35,-97.71,90.0,top
U3,151.99,-97.65,90.0,top
U4,150.47,-95.13,180.0,bottom
U6,145.12,-105.59,270.0,top
U7,144.66,-102.52,270.0,bottom
U8,144.93,-110.87,270.0,top
U9,153.44,-107.7,0.0,bottom
USB1,156.35,-101.18,0.0,top
X1,149.133934,-100.961751,135.0,bottom
